item,preco,descricao,quantidade
Maçã,2.5,Maçãs frescas,100
Banana,1.8,Bananas maduras,80
Laranja,3.0,Laranjas suculentas,75
Morango,4.5,Morangos orgânicos,60
Abacaxi,6.0,Abacaxi maduro,40
Pêssego,3.2,Pêssegos frescos,55
Uva,5.0,Uvas sem sementes,70
Melancia,10.0,Melancias grandes,30
Abóbora,8.0,Abóboras médias,45
Cenoura,1.2,Cenouras orgânicas,90
Brócolis,2.0,Brócolis frescos,65
Couve,1.5,Folhas de couve,85
Alface,1.0,Alfaces verdes,95
Tomate,2.2,Tomates maduros,75
Pepino,1.8,Pepinos frescos,80
Batata,1.6,Batatas doces,70
Cebola,1.0,Cebolas brancas,100
Alho,0.5,Cabeças de alho,110
Pimentão,3.0,Pimentões vermelhos,60
Ervilha,2.5,Ervilhas congeladas,50
Milho,1.8,Milhos frescos,40
Feijão,4.0,Feijões pretos,55
Arroz,3.5,Arroz branco,90
Macarrão,2.0,Macarrão de trigo,75
Pão,2.5,Pães integrais,85
Leite,3.0,Leite integral,70
Queijo,4.5,Queijo cheddar,60
Manteiga,2.2,Manteiga sem sal,50
Ovos,3.0,Ovos de galinha,80
Iogurte,2.0,Iogurte natural,75
Água,1.0,Garrafas de água,100
Refrigerante,2.5,Latas de refrigerante,90
Suco,3.0,Sucos naturais,80
Café,5.0,Café moído,65
Chá,3.5,Saquinhos de chá,75
Biscoito,2.0,Biscoitos de chocolate,55
Chocolate,3.0,Barras de chocolate,70
Sorvete,4.5,Potes de sorvete,40
Picolé,1.5,Picolés de frutas,60
Pipoca,1.2,Sacos de pipoca,80
Salgadinho,2.0,Pacotes de salgadinho,70
Batata Frita,2.5,Pacotes de batata frita,50
Barra de Cereal,1.0,Barras de cereal,90
Amendoim,1.8,Pacotes de amendoim,85
Castanha,3.5,Pacotes de castanhas,60
Passas,2.0,Pacotes de passas,75
Granola,4.0,Pacotes de granola,40
